Id,Label,gdp
World,World,36053260000000
World,World,40393664000000
World,World,48437260000000
World,World,56653580000000
World,World,65002107000000
World,World,75472470000000
World,World,82677380000000
High-income countries,High-income countries,29273404000000
High-income countries,High-income countries,32024646000000
High-income countries,High-income countries,37837830000000
High-income countries,High-income countries,42612340000000
High-income countries,High-income countries,45362090000000
High-income countries,High-income countries,49875505000000
High-income countries,High-income countries,52182340000000
Middle-income countries,Middle-income countries,6480810000000
Middle-income countries,Middle-income countries,8040658000000
Middle-income countries,Middle-income countries,10199161000000
Middle-income countries,Middle-income countries,13545385000000
Middle-income countries,Middle-income countries,19020722000000
Middle-income countries,Middle-income countries,24920281000000
Middle-income countries,Middle-income countries,29735728000000
Upper-middle-income countries,Upper-middle-income countries,5033732000000
Upper-middle-income countries,Upper-middle-income countries,6326618400000
Upper-middle-income countries,Upper-middle-income countries,8023928000000
Upper-middle-income countries,Upper-middle-income countries,10673460000000
Upper-middle-income countries,Upper-middle-income countries,15131983000000
Upper-middle-income countries,Upper-middle-income countries,19830615000000
Upper-middle-income countries,Upper-middle-income countries,23733211000000
Lower-middle-income countries,Lower-middle-income countries,1447057300000
Lower-middle-income countries,Lower-middle-income countries,1714050600000
Lower-middle-income countries,Lower-middle-income countries,2175258700000
Lower-middle-income countries,Lower-middle-income countries,2871957700000
Lower-middle-income countries,Lower-middle-income countries,3888776200000
Lower-middle-income countries,Lower-middle-income countries,5089666000000
Lower-middle-income countries,Lower-middle-income countries,6002516000000
Low-income countries,Low-income countries,172250050000
Low-income countries,Low-income countries,187901760000
Low-income countries,Low-income countries,232384870000
Low-income countries,Low-income countries,301600740000
Low-income countries,Low-income countries,398591000000
Low-income countries,Low-income countries,417756940000
Low-income countries,Low-income countries,475602780000
Burundi,Burundi,2385839000
Burundi,Burundi,2100894500
Burundi,Burundi,1955416600
Burundi,Burundi,2177787600
Burundi,Burundi,2717827600
Burundi,Burundi,3104003600
Burundi,Burundi,3218331100
Comoros,Comoros,529042750
Comoros,Comoros,549132860
Comoros,Comoros,645253600
Comoros,Comoros,723068100
Comoros,Comoros,833349060
Comoros,Comoros,966029630
Comoros,Comoros,1090706700
Djibouti,Djibouti,2424391700
Djibouti,Djibouti,3068599800
Eritrea,Eritrea,1633788900
Eritrea,Eritrea,1899038700
Eritrea,Eritrea,2155038000
Eritrea,Eritrea,2073049700
Ethiopia,Ethiopia,13224508000
Ethiopia,Ethiopia,13896780000
Ethiopia,Ethiopia,17352575000
Ethiopia,Ethiopia,23704203000
Ethiopia,Ethiopia,39727088000
Ethiopia,Ethiopia,64589330000
Ethiopia,Ethiopia,95071770000
